observation_date,CHNLORSGPNOSTSAM
01/01/1978,101.5667
01/02/1978,101.3411
01/03/1978,101.1154
01/04/1978,100.8871
01/05/1978,100.651
01/06/1978,100.3977
01/07/1978,100.1314
01/08/1978,99.87691
01/09/1978,99.64425
01/10/1978,99.44346
01/11/1978,99.29182
01/12/1978,99.19391
01/01/1979,99.15738
01/02/1979,99.20766
01/03/1979,99.34309
01/04/1979,99.55611
01/05/1979,99.84579
01/06/1979,100.2039
01/07/1979,100.6138
01/08/1979,101.0434
01/09/1979,101.4601
01/10/1979,101.8254
01/11/1979,102.1129
01/12/1979,102.3167
01/01/1980,102.4421
01/02/1980,102.4772
01/03/1980,102.4231
01/04/1980,102.2912
01/05/1980,102.0831
01/06/1980,101.8008
01/07/1980,101.4485
01/08/1980,101.0339
01/09/1980,100.5835
01/10/1980,100.139
01/11/1980,99.73459
01/12/1980,99.39169
01/01/1981,99.11981
01/02/1981,98.93061
01/03/1981,98.83523
01/04/1981,98.82195
01/05/1981,98.87752
01/06/1981,98.98843
01/07/1981,99.13647
01/08/1981,99.30195
01/09/1981,99.46313
01/10/1981,99.59573
01/11/1981,99.6713
01/12/1981,99.67167
01/01/1982,99.58827
01/02/1982,99.43217
01/03/1982,99.21837
01/04/1982,98.96384
01/05/1982,98.69327
01/06/1982,98.43249
01/07/1982,98.2021
01/08/1982,98.01635
01/09/1982,97.88652
01/10/1982,97.81707
01/11/1982,97.80277
01/12/1982,97.83299
01/01/1983,97.89409
01/02/1983,97.96907
01/03/1983,98.05448
01/04/1983,98.14019
01/05/1983,98.21555
01/06/1983,98.27518
01/07/1983,98.31697
01/08/1983,98.342
01/09/1983,98.35068
01/10/1983,98.344
01/11/1983,98.33068
01/12/1983,98.32836
01/01/1984,98.3601
01/02/1984,98.43221
01/03/1984,98.54015
01/04/1984,98.69926
01/05/1984,98.92302
01/06/1984,99.21881
01/07/1984,99.58948
01/08/1984,100.0222
01/09/1984,100.5005
01/10/1984,101.0027
01/11/1984,101.5015
01/12/1984,101.9618
01/01/1985,102.3437
01/02/1985,102.6191
01/03/1985,102.7765
01/04/1985,102.8066
01/05/1985,102.7064
01/06/1985,102.489
01/07/1985,102.1769
01/08/1985,101.7961
01/09/1985,101.3834
01/10/1985,100.9769
01/11/1985,100.611
01/12/1985,100.3079
01/01/1986,100.0735
01/02/1986,99.90518
01/03/1986,99.80358
01/04/1986,99.76038
01/05/1986,99.77206
01/06/1986,99.83192
01/07/1986,99.93048
01/08/1986,100.0566
01/09/1986,100.1947
01/10/1986,100.3289
01/11/1986,100.4417
01/12/1986,100.522
01/01/1987,100.5699
01/02/1987,100.6005
01/03/1987,100.6285
01/04/1987,100.6653
01/05/1987,100.7199
01/06/1987,100.7957
01/07/1987,100.8895
01/08/1987,100.9997
01/09/1987,101.1289
01/10/1987,101.2786
01/11/1987,101.4491
01/12/1987,101.6395
01/01/1988,101.8424
01/02/1988,102.0398
01/03/1988,102.2248
01/04/1988,102.4101
01/05/1988,102.5941
01/06/1988,102.7682
01/07/1988,102.9184
01/08/1988,103.0291
01/09/1988,103.0752
01/10/1988,103.0339
01/11/1988,102.899
01/12/1988,102.685
01/01/1989,102.4103
01/02/1989,102.0969
01/03/1989,101.7455
01/04/1989,101.3467
01/05/1989,100.896
01/06/1989,100.3985
01/07/1989,99.86331
01/08/1989,99.29896
01/09/1989,98.72609
01/10/1989,98.17385
01/11/1989,97.67004
01/12/1989,97.23
01/01/1990,96.8658
01/02/1990,96.60166
01/03/1990,96.44037
01/04/1990,96.36356
01/05/1990,96.35556
01/06/1990,96.40591
01/07/1990,96.51149
01/08/1990,96.67355
01/09/1990,96.88701
01/10/1990,97.13724
01/11/1990,97.39918
01/12/1990,97.64283
01/01/1991,97.842
01/02/1991,97.97707
01/03/1991,98.05933
01/04/1991,98.10516
01/05/1991,98.12383
01/06/1991,98.12434
01/07/1991,98.11973
01/08/1991,98.11924
01/09/1991,98.1235
01/10/1991,98.1349
01/11/1991,98.16056
01/12/1991,98.21139
01/01/1992,98.28561
01/02/1992,98.37022
01/03/1992,98.45453
01/04/1992,98.55233
01/05/1992,98.67583
01/06/1992,98.83323
01/07/1992,99.02207
01/08/1992,99.22953
01/09/1992,99.44736
01/10/1992,99.66885
01/11/1992,99.88754
01/12/1992,100.1004
01/01/1993,100.3048
01/02/1993,100.4872
01/03/1993,100.6364
01/04/1993,100.7453
01/05/1993,100.8117
01/06/1993,100.8327
01/07/1993,100.809
01/08/1993,100.7574
01/09/1993,100.7078
01/10/1993,100.6951
