Date,Price,Open,High,Low,Vol.,Change %
04/01/2022,6.9655,7.0153,7.0662,6.8552,,-0.70%
03/01/2022,7.0144,7.0777,7.1037,6.8284,,-0.89%
02/01/2022,7.0774,7.1459,7.3054,7.0263,,-0.94%
01/01/2022,7.1447,7.2241,7.3022,7.0747,,-1.06%
12/01/2021,7.2211,7.2165,7.241,7.1453,,0.10%
11/01/2021,7.2142,7.4044,7.4429,7.1494,,-2.57%
10/01/2021,7.4048,7.4665,7.5045,7.3887,,-0.80%
09/01/2021,7.4642,7.6301,7.681,7.4536,,-2.14%
08/01/2021,7.6278,7.6659,7.689,7.5744,,-0.54%
07/01/2021,7.6691,7.6576,7.7101,7.6076,,0.19%
06/01/2021,7.6543,7.7885,7.8228,7.6419,,-1.69%
05/01/2021,7.7859,7.7883,7.8765,7.7342,,0.08%
04/01/2021,7.7793,7.6866,7.8702,7.68,,1.24%
03/01/2021,7.684,7.8213,7.8362,7.6764,,-1.68%
02/01/2021,7.8155,7.8033,7.9019,7.7375,,0.23%
01/01/2021,7.7974,7.9828,7.9972,7.7927,,-2.15%
12/01/2020,7.969,7.8473,8.0568,7.846,,1.59%
11/01/2020,7.8439,7.8024,7.8995,7.762,,0.64%
10/01/2020,7.7941,7.9588,8.0189,7.7899,,-2.04%
09/01/2020,7.9561,8.1743,8.1906,7.9152,,-2.66%
08/01/2020,8.1731,8.2188,8.2743,8.1082,,-0.50%
07/01/2020,8.2138,7.9363,8.3328,7.8828,,3.52%
06/01/2020,7.9348,7.9198,8.079,7.8983,,0.21%
05/01/2020,7.9182,7.7373,7.955,7.6311,,2.38%
04/01/2020,7.7342,7.8127,7.8253,7.5957,,-0.96%
03/01/2020,7.8094,7.6933,7.9816,7.5477,,1.33%
02/01/2020,7.7071,7.6941,7.786,7.542,,0.16%
01/01/2020,7.6945,7.8075,7.828,7.5911,,-1.41%
12/01/2019,7.8042,7.7456,7.8504,7.7388,,0.77%
11/01/2019,7.7444,7.8505,7.8689,7.7,,-1.31%
10/01/2019,7.8473,7.7917,7.9124,7.7748,,0.74%
09/01/2019,7.7896,7.8643,7.9275,7.7449,,-0.92%
08/01/2019,7.8619,7.6245,7.9719,7.5953,,3.14%
07/01/2019,7.6226,7.8079,7.8117,7.6136,,-2.33%
06/01/2019,7.8041,7.7115,7.8562,7.7029,,1.12%
05/01/2019,7.7179,7.5542,7.7476,7.4987,,2.19%
04/01/2019,7.5523,7.5296,7.5986,7.4843,,0.32%
03/01/2019,7.528,7.6196,7.6649,7.5043,,-1.05%
02/01/2019,7.6079,7.6698,7.7495,7.5716,,-0.73%
01/01/2019,7.664,7.8869,7.9433,7.6492,,-2.81%
12/01/2018,7.8855,7.8751,7.9212,7.738,,0.19%
11/01/2018,7.8705,7.8906,7.9619,7.8045,,-0.21%
10/01/2018,7.8873,7.973,8.0324,7.8714,,-1.07%
09/01/2018,7.9724,7.9218,8.1161,7.891,,0.62%
08/01/2018,7.9235,7.9647,8.0069,7.7825,,-0.39%
07/01/2018,7.9543,7.7138,8.0246,7.6998,,2.89%
06/01/2018,7.7308,7.4956,7.741,7.3969,,3.18%
05/01/2018,7.4928,7.649,7.6555,7.3911,,-2.03%
04/01/2018,7.6478,7.733,7.7962,7.6399,,-1.04%
03/01/2018,7.7285,7.7204,7.8865,7.7094,,0.17%
02/01/2018,7.7151,7.8069,7.9707,7.6776,,-1.15%
01/01/2018,7.8049,7.8093,7.9413,7.7621,,0.00%
12/01/2017,7.805,7.8718,7.8984,7.7518,,-0.78%
11/01/2017,7.866,7.727,7.8949,7.6658,,1.85%
10/01/2017,7.7232,7.8626,7.8626,7.6976,,-1.73%
09/01/2017,7.8589,7.8485,7.9147,7.7451,,0.17%
08/01/2017,7.8459,7.9655,8.0057,7.7879,,-1.45%
07/01/2017,7.9612,7.7441,7.9686,7.6933,,2.80%
06/01/2017,7.744,7.6568,7.7688,7.5773,,1.16%
05/01/2017,7.6549,7.5187,7.7632,7.4819,,1.97%
04/01/2017,7.5067,7.342,7.5493,7.2951,,2.39%
03/01/2017,7.3313,7.2634,7.4962,7.23,,0.96%
02/01/2017,7.2613,7.4304,7.4525,7.2168,,-2.19%
01/01/2017,7.4242,7.3138,7.4408,7.198,,1.71%
12/01/2016,7.2992,7.2918,7.4776,7.1954,,0.17%
11/01/2016,7.2871,7.4401,7.6356,7.2674,,-2.01%
10/01/2016,7.4366,7.4962,7.5051,7.3472,,-0.77%
09/01/2016,7.4941,7.4528,7.5477,7.4208,,0.60%
08/01/2016,7.4495,7.4186,7.5672,7.3509,,0.46%
07/01/2016,7.4156,7.3829,7.4636,7.311,,0.49%
06/01/2016,7.3796,7.3281,7.5208,7.2109,,0.78%
05/01/2016,7.3227,7.4102,7.5177,7.2835,,-1.25%
04/01/2016,7.4151,7.3393,7.4269,7.2874,,1.07%
03/01/2016,7.3365,7.1255,7.3671,7.0605,,2.99%
02/01/2016,7.1232,7.1238,7.4788,7.111,,-0.01%
01/01/2016,7.1236,7.0524,7.2366,6.9855,,1.04%
12/01/2015,7.0504,6.7615,7.1486,6.742,,4.32%
11/01/2015,6.7583,6.9673,7.0108,6.7509,,-2.80%
10/01/2015,6.953,7.105,7.2944,6.9281,,-2.11%
09/01/2015,7.103,7.1486,7.2938,7.0468,,-0.63%
08/01/2015,7.1481,6.8118,7.5005,6.7362,,4.77%
07/01/2015,6.8226,6.9082,6.9646,6.7121,,-1.17%
06/01/2015,6.9037,6.8098,7.0999,6.7491,,1.38%
05/01/2015,6.8097,6.9617,7.1171,6.7091,,-2.16%
04/01/2015,6.9597,6.6555,6.9886,6.54,,4.63%
03/01/2015,6.6515,7.0145,7.0509,6.5455,,-5.22%
02/01/2015,7.0175,7.0528,7.2178,6.9993,,-0.51%
01/01/2015,7.0532,7.5085,7.5153,6.913,,-6.03%
12/01/2014,7.5057,7.6498,7.7802,7.5072,,-1.86%
11/01/2014,7.6479,7.6515,7.7105,7.5571,,-0.10%
10/01/2014,7.6552,7.7538,7.8941,7.6319,,-1.26%
09/01/2014,7.7529,8.0709,8.0822,7.7168,,-3.89%
08/01/2014,8.067,8.2673,8.309,8.0672,,-2.40%
07/01/2014,8.2653,8.4942,8.4994,8.2491,,-2.68%
06/01/2014,8.4933,8.519,8.5531,8.3955,,-0.25%
05/01/2014,8.5148,8.6798,8.7152,8.4806,,-1.89%
04/01/2014,8.6789,8.5608,8.6861,8.4935,,1.39%
03/01/2014,8.56,8.4712,8.6433,8.3874,,0.93%
02/01/2014,8.4811,8.1781,8.4956,8.168,,3.78%
01/01/2014,8.1719,8.3217,8.3391,8.1695,,-1.79%
12/01/2013,8.3208,8.2809,8.4312,8.2398,,0.51%
11/01/2013,8.2787,8.2785,8.3005,8.0987,,0.02%
10/01/2013,8.2773,8.2806,8.4143,8.2183,,0.01%
09/01/2013,8.2767,8.0985,8.3062,8.0203,,2.30%
08/01/2013,8.0909,8.153,8.2394,8.0612,,-0.73%
07/01/2013,8.1508,7.985,8.179,7.8182,,2.10%
06/01/2013,7.9835,7.8878,8.2248,7.8878,,0.15%
05/01/2013,7.9718,8.118,8.1643,7.8583,,-1.78%
04/01/2013,8.1164,7.957,8.1628,7.9047,,1.96%
03/01/2013,7.9607,8.1273,8.1633,7.9234,,-2.07%
02/01/2013,8.1288,8.4439,8.5394,8.1094,,-3.75%
01/01/2013,8.4455,8.2178,8.4542,8.0981,,2.74%
12/01/2012,8.22,8.082,8.2916,8.0115,,1.50%
11/01/2012,8.0982,8.0822,8.1161,7.8828,,0.19%
10/01/2012,8.0828,8.0737,8.2213,8.0447,,0.06%
09/01/2012,8.0776,7.9873,8.3211,7.9369,,1.16%
08/01/2012,7.985,7.8233,8.0229,7.7259,,2.05%
07/01/2012,7.8245,8.0523,8.0526,7.6897,,-2.70%
06/01/2012,8.0416,7.8719,8.1152,7.8268,,2.19%
05/01/2012,7.8693,8.3559,8.3824,7.8567,,-5.80%
04/01/2012,8.3536,8.3677,8.4283,8.1987,,-0.59%
03/01/2012,8.4028,8.3861,8.4431,8.2332,,0.20%
02/01/2012,8.3861,8.2515,8.4938,8.1758,,1.68%
01/01/2012,8.2477,8.143,8.3808,7.9618,,1.26%
12/01/2011,8.1449,8.5708,8.6175,8.1223,,-4.98%
11/01/2011,8.5714,8.8044,8.8146,8.431,,-2.66%
10/01/2011,8.8057,8.5057,9.0611,8.3802,,3.16%
09/01/2011,8.5363,9.1684,9.1746,8.5378,,-6.91%
08/01/2011,9.1697,9.2389,9.2999,9.0178,,-1.02%
07/01/2011,9.2646,9.3701,9.4254,8.9562,,-1.17%
06/01/2011,9.3747,9.3239,9.5273,9.1123,,0.52%
05/01/2011,9.3265,9.6201,9.7016,9.0883,,-2.90%
04/01/2011,9.6046,9.2776,9.6772,9.2069,,3.55%
03/01/2011,9.2757,9.0697,9.3496,9.0334,,2.29%
02/01/2011,9.0677,9.0351,9.1366,8.858,,0.35%
01/01/2011,9.0357,8.7944,9.0758,8.5329,,2.51%
12/01/2010,8.8148,8.6564,8.9857,8.6501,,1.88%
11/01/2010,8.6518,9.313,9.5172,8.6435,,-7.01%
10/01/2010,9.3036,9.1185,9.4023,9.0216,,1.98%
09/01/2010,9.1229,8.6383,9.1576,8.5638,,5.63%
08/01/2010,8.6367,8.8477,9.0253,8.555,,-2.29%
07/01/2010,8.8387,8.2985,8.8833,8.2695,,6.51%
06/01/2010,8.2985,8.4015,8.4916,8.1125,,-1.23%
05/01/2010,8.4017,9.1049,9.1049,8.2902,,-7.43%
04/01/2010,9.0762,9.2238,9.3461,8.9518,,-1.60%
03/01/2010,9.2235,9.3,9.4323,9.0565,,-0.84%
02/01/2010,9.3016,9.4647,9.5756,9.1839,,-1.73%
01/01/2010,9.4651,9.7785,9.9564,9.463,,-3.17%
12/01/2009,9.7749,10.2448,10.3389,9.7097,,-4.61%
11/01/2009,10.2474,10.0459,10.3434,9.9879,,1.98%
10/01/2009,10.0487,9.9936,10.2867,9.8875,,0.57%
09/01/2009,9.9916,9.7889,10.1328,9.6826,,2.08%
08/01/2009,9.7876,9.7488,9.87,9.6033,,0.53%
07/01/2009,9.7356,9.5863,9.7716,9.4513,,1.55%
06/01/2009,9.5869,9.6436,9.7919,9.3997,,-0.80%
05/01/2009,9.6647,9.0195,9.6763,9.0134,,7.17%
04/01/2009,9.0182,9.0523,9.283,8.7996,,-0.39%
03/01/2009,9.0539,8.638,9.3867,8.5216,,4.49%
02/01/2009,8.6651,8.7264,8.9554,8.5556,,-0.85%
01/01/2009,8.7393,9.5268,9.5985,8.7266,,-8.42%
12/01/2008,9.5423,8.6727,10.0574,8.6152,,10.08%
11/01/2008,8.6689,8.7176,8.9565,8.462,,-0.46%
10/01/2008,8.7087,9.6686,9.7021,8.4496,,-9.85%
09/01/2008,9.6601,10.0658,10.152,9.5,,-3.88%
08/01/2008,10.0498,10.6543,10.7117,9.9745,,-5.70%
07/01/2008,10.6575,10.7989,10.9438,10.591,,-1.32%
06/01/2008,10.7998,10.7973,10.9704,10.5611,,0.02%
05/01/2008,10.798,10.9081,10.9983,10.6914,,-1.08%
04/01/2008,10.9157,11.0509,11.1947,10.841,,-1.31%
03/01/2008,11.061,10.8052,11.2673,10.7636,,2.45%
02/01/2008,10.7966,10.6714,10.8299,10.3782,,1.13%
01/01/2008,10.676,10.6508,10.8151,10.3895,,0.18%
12/01/2007,10.6567,10.8255,10.9276,10.5421,,-1.56%
11/01/2007,10.8255,10.8165,11.1106,10.7413,,0.05%
10/01/2007,10.8199,10.7134,10.837,10.5218,,1.00%
09/01/2007,10.7126,10.2795,10.7178,10.2296,,4.17%
08/01/2007,10.2838,10.3547,10.4774,10.1562,,-0.67%
07/01/2007,10.3528,10.3061,10.4797,10.287,,0.42%
06/01/2007,10.3098,10.2841,10.3611,10.1116,,0.21%
05/01/2007,10.2882,10.5096,10.5391,10.2496,,-2.16%
04/01/2007,10.5149,10.3371,10.5662,10.2947,,1.82%
03/01/2007,10.3268,10.2346,10.3771,10.129,,0.83%
02/01/2007,10.2413,10.1299,10.2646,10.0121,,1.05%
01/01/2007,10.1344,10.3015,10.3902,10.0124,,-1.65%
12/01/2006,10.3043,10.3707,10.4681,10.2059,,-0.65%
11/01/2006,10.3717,10.0512,10.3991,9.9812,,3.14%
10/01/2006,10.0564,10.025,10.0974,9.86,,0.34%
09/01/2006,10.0221,10.1826,10.2334,9.9902,,-1.62%
08/01/2006,10.187,10.1692,10.3129,10.1326,,0.14%
07/01/2006,10.1729,10.2175,10.2696,9.966,,-0.48%
06/01/2006,10.2216,10.2771,10.401,9.9789,,-0.56%
05/01/2006,10.2795,10.1144,10.3874,10.0567,,1.52%
04/01/2006,10.126,9.714,10.1324,9.6443,,4.22%
03/01/2006,9.7156,9.5804,9.8055,9.5407,,1.35%
02/01/2006,9.5858,9.7969,9.812,9.5063,,-2.18%
01/01/2006,9.7992,9.556,9.938,9.5189,,2.54%
12/01/2005,9.5567,9.5187,9.7412,9.4156,,0.36%
11/01/2005,9.5228,9.6757,9.7572,9.4029,,-1.72%
10/01/2005,9.6898,9.7091,9.8782,9.5872,,-0.47%
09/01/2005,9.7357,9.9935,10.2084,9.6727,,-2.63%
08/01/2005,9.9988,9.8256,10.1124,9.8013,,1.69%
07/01/2005,9.8325,10.0121,10.1441,9.7029,,-1.84%
06/01/2005,10.0167,10.1826,10.2269,9.9161,,-1.68%
05/01/2005,10.1883,10.6436,10.7521,10.1751,,-4.37%
04/01/2005,10.6544,10.7255,10.8637,10.5658,,-0.69%
03/01/2005,10.7284,10.9457,11.1588,10.6378,,-2.08%
02/01/2005,10.956,10.7876,10.9916,10.5352,,1.56%
01/01/2005,10.7872,11.2105,11.2407,10.6924,,-3.87%
12/01/2004,11.2217,10.9928,11.3119,10.872,,2.00%
11/01/2004,11.0015,10.5956,11.0372,10.4739,,3.97%
10/01/2004,10.5815,10.2886,10.632,10.1172,,2.84%
09/01/2004,10.2895,10.0801,10.3003,9.9502,,2.01%
08/01/2004,10.0871,9.9886,10.2544,9.9051,,1.39%
07/01/2004,9.9489,10.0859,10.3159,9.9232,,-1.36%
06/01/2004,10.0862,10.0845,10.2238,9.8907,,0.00%
05/01/2004,10.0861,9.9267,10.1788,9.7423,,1.70%
04/01/2004,9.9176,10.1915,10.2568,9.7328,,-2.70%
03/01/2004,10.1931,10.3345,10.3818,9.9708,,-1.40%
02/01/2004,10.3382,10.3212,10.7018,10.2385,,0.18%
