Date,Price,Open,High,Low,Vol.,Change %
04/01/2022,412,453.31,457.83,411.21,1.86B,-8.78%
03/01/2022,451.64,435.04,462.07,415.12,2.38B,3.44%
02/01/2022,436.63,450.68,458.12,410.64,2.30B,-2.95%
01/01/2022,449.91,476.3,479.98,420.76,2.49B,-5.27%
12/01/2021,474.96,461.64,479,448.92,1.93B,4.26%
11/01/2021,455.56,460.3,473.54,455.3,1.34B,-0.80%
10/01/2021,459.25,430.98,459.56,426.36,1.51B,7.02%
09/01/2021,429.14,452.56,454.05,428.78,1.75B,-4.97%
08/01/2021,451.56,440.34,453.07,436.1,1.25B,2.98%
07/01/2021,438.51,428.87,441.8,421.97,1.42B,2.44%
06/01/2021,428.06,422.57,428.78,414.7,1.28B,1.91%
05/01/2021,420.04,419.43,422.81,404,1.55B,0.66%
04/01/2021,417.3,398.4,420.72,398.18,1.46B,5.29%
03/01/2021,396.33,385.59,398.12,371.88,2.40B,4.20%
02/01/2021,380.36,373.72,394.17,370.38,1.31B,2.78%
01/01/2021,370.07,375.31,385.85,364.82,1.40B,-1.02%
12/01/2020,373.88,365.57,378.46,362.03,1.35B,3.26%
11/01/2020,362.06,330.2,364.38,327.24,1.54B,10.88%
10/01/2020,326.54,337.69,354.02,322.6,1.63B,-2.49%
09/01/2020,334.89,350.21,358.75,319.8,1.82B,-4.13%
08/01/2020,349.31,328.32,351.3,327.73,1.05B,6.98%
07/01/2020,326.52,309.57,327.23,309.07,1.51B,5.89%
06/01/2020,308.36,303.62,323.41,296.74,2.36B,1.33%
05/01/2020,304.32,285.31,306.84,272.99,1.91B,4.76%
04/01/2020,290.48,247.98,294.88,243.9,2.82B,12.70%
03/01/2020,257.75,298.21,313.84,218.26,5.93B,-13.00%
02/01/2020,296.26,323.35,339.08,285.54,2.11B,-7.92%
01/01/2020,321.73,323.54,332.95,320.36,1.40B,-0.04%
12/01/2019,321.86,314.59,323.8,307.13,1.29B,2.40%
11/01/2019,314.31,304.92,315.48,304.74,1.04B,3.62%
10/01/2019,303.33,297.74,304.55,284.82,1.41B,2.21%
09/01/2019,296.77,290.57,302.63,289.27,1.33B,1.48%
08/01/2019,292.45,297.6,300.87,281.72,2.04B,-1.67%
07/01/2019,297.43,296.68,302.23,294.33,1.14B,1.51%
06/01/2019,293,275.31,296.31,273.09,1.34B,6.44%
05/01/2019,275.27,294.72,294.95,275.24,1.85B,-6.38%
04/01/2019,294.02,284.7,294.45,284.4,1.21B,4.09%
03/01/2019,282.48,280.44,285.18,272.42,1.68B,1.36%
02/01/2019,278.68,270.15,281.31,267.83,1.37B,3.24%
01/01/2019,269.93,245.98,270.47,243.67,2.05B,8.01%
12/01/2018,249.92,280.28,280.4,233.76,3.10B,-9.33%
11/01/2018,275.65,271.6,281.22,263.07,2.02B,1.85%
10/01/2018,270.63,292.11,293.21,259.85,3.02B,-6.91%
09/01/2018,290.72,289.84,293.94,286.71,1.23B,0.14%
08/01/2018,290.31,281.56,291.74,279.16,1.31B,3.19%
07/01/2018,281.33,269.51,284.37,269.24,1.27B,3.70%
06/01/2018,271.28,272.41,279.48,268.49,1.60B,0.13%
05/01/2018,270.94,263.87,274.25,259.05,1.61B,2.43%
04/01/2018,264.51,262.55,271.3,254.67,2.00B,0.52%
03/01/2018,263.15,271.41,280.41,257.83,2.34B,-3.13%
02/01/2018,271.65,281.07,283.06,252.92,2.92B,-3.64%
01/01/2018,281.9,267.84,286.63,267.4,2.00B,5.64%
12/01/2017,266.86,264.76,268.6,260.76,1.72B,0.70%
11/01/2017,265.01,258.04,266.05,255.63,1.37B,3.06%
10/01/2017,257.15,251.49,257.89,251.29,1.32B,2.36%
09/01/2017,251.23,247.92,251.32,244.95,1.29B,1.51%
08/01/2017,247.49,247.46,248.91,241.83,1.56B,0.29%
07/01/2017,246.77,242.88,248,240.34,1.06B,2.06%
06/01/2017,241.8,241.97,245.01,239.96,1.57B,0.15%
05/01/2017,241.44,238.68,242.08,235.43,1.49B,1.41%
04/01/2017,238.08,235.8,239.53,232.51,1.55B,0.99%
03/01/2017,235.74,238.39,240.32,231.61,1.92B,-0.31%
02/01/2017,236.47,228.25,237.31,226.82,1.37B,3.93%
01/01/2017,227.53,225.04,229.71,223.88,1.48B,1.79%
12/01/2016,223.53,220.73,228.34,219.15,1.82B,1.43%
11/01/2016,220.38,212.93,221.82,208.38,2.07B,3.68%
10/01/2016,212.55,215.82,216.7,211.21,1.73B,-1.73%
09/01/2016,216.3,217.37,219.22,212.31,2.30B,-0.50%
08/01/2016,217.38,217.19,219.6,214.25,1.52B,0.12%
07/01/2016,217.12,209.36,217.54,207.06,1.65B,3.65%
06/01/2016,209.47,209.12,212.52,198.65,2.63B,-0.18%
05/01/2016,209.84,206.92,210.69,202.78,1.83B,1.70%
04/01/2016,206.33,204.35,210.92,203.09,1.91B,0.39%
03/01/2016,205.52,195.01,206.87,194.45,2.32B,6.18%
02/01/2016,193.56,192.53,196.68,181.09,2.92B,-0.08%
01/01/2016,193.72,200.49,201.9,181.02,3.71B,-4.98%
12/01/2015,203.87,209.44,211,199.83,2.92B,-2.31%
11/01/2015,208.69,208.32,211.66,202.18,1.92B,0.37%
10/01/2015,207.93,192.08,209.44,189.12,2.54B,8.51%
09/01/2015,191.63,193.12,202.89,186.93,3.28B,-3.06%
08/01/2015,197.67,210.46,211.31,182.4,3.73B,-6.10%
07/01/2015,210.5,207.73,213.18,204.11,2.45B,2.26%
06/01/2015,205.85,211.94,213.34,205.28,2.54B,-2.51%
05/01/2015,211.14,209.4,213.78,206.76,1.89B,1.29%
04/01/2015,208.46,206.39,212.48,204.51,2.04B,0.98%
03/01/2015,206.43,210.78,212.06,204.12,2.75B,-2.01%
02/01/2015,210.66,200.05,212.24,197.86,1.90B,5.62%
01/01/2015,199.45,206.38,206.88,198.55,3.18B,-2.96%
12/01/2014,205.54,206.4,212.97,197.86,3.05B,-0.80%
11/01/2014,207.2,201.92,207.87,200.06,1.57B,2.75%
10/01/2014,201.66,196.7,201.82,181.92,3.94B,2.36%
09/01/2014,197.02,200.97,201.9,196.05,2.11B,-1.84%
08/01/2014,200.71,192.56,200.82,190.55,1.83B,3.95%
07/01/2014,193.09,196.2,199.06,192.97,1.89B,-1.34%
06/01/2014,195.72,192.95,196.6,191.97,1.68B,1.58%
05/01/2014,192.68,188.22,192.8,186.01,1.78B,2.32%
04/01/2014,188.31,187.62,189.7,181.31,2.35B,0.70%
03/01/2014,187.01,184.65,189.02,183.75,2.55B,0.39%
02/01/2014,186.29,177.97,187.15,173.71,2.39B,4.55%
01/01/2014,178.18,183.98,184.94,176.88,2.53B,-3.52%
12/01/2013,184.69,181.09,184.69,177.32,2.23B,2.04%
11/01/2013,181,176.02,181.75,174.76,1.93B,2.96%
10/01/2013,175.79,168.14,177.51,164.53,2.90B,4.63%
09/01/2013,168.01,165.23,173.6,163.7,2.25B,2.66%
08/01/2013,163.65,169.99,170.97,163.05,2.28B,-3.00%
07/01/2013,168.71,161.26,169.86,160.22,2.33B,5.17%
06/01/2013,160.42,163.83,165.99,155.73,3.53B,-1.85%
05/01/2013,163.44,159.33,169.07,158.1,2.78B,2.35%
04/01/2013,159.68,156.59,159.72,153.55,2.91B,1.92%
03/01/2013,156.67,151.09,156.85,150.41,2.33B,3.34%
02/01/2013,151.61,150.65,153.28,148.73,2.58B,1.28%
01/01/2013,149.7,145.11,150.94,144.73,2.59B,5.12%
12/01/2012,142.41,142.8,145.58,139.54,2.89B,0.18%
11/01/2012,142.16,141.65,143.72,134.7,3.03B,0.57%
10/01/2012,141.35,144.52,147.16,140.39,2.72B,-1.82%
09/01/2012,143.97,141.04,148.11,140.13,2.39B,1.99%
08/01/2012,141.16,138.7,143.09,135.58,2.41B,2.51%
07/01/2012,137.71,136.48,139.34,132.6,2.86B,1.18%
06/01/2012,136.1,129.41,136.27,127.14,3.64B,3.52%
05/01/2012,131.47,139.79,141.66,129.55,4.00B,-6.01%
04/01/2012,139.87,140.64,142.21,135.76,3.03B,-0.67%
03/01/2012,140.81,137.31,141.83,134.36,3.06B,2.77%
02/01/2012,137.02,132.29,138.19,132.13,2.90B,4.34%
01/01/2012,131.32,127.76,133.4,126.43,2.88B,4.64%
12/01/2011,125.5,124.85,127.26,120.03,3.85B,0.41%
11/01/2011,124.99,122.03,128.02,116.2,5.01B,-0.41%
10/01/2011,125.5,112.49,129.42,107.43,5.67B,10.91%
09/01/2011,113.15,122.29,123.4,111.3,6.19B,-7.42%
08/01/2011,122.22,130.84,130.96,110.27,9.05B,-5.50%
07/01/2011,129.33,132.09,135.7,127.97,3.84B,-2.00%
06/01/2011,131.97,134.51,134.92,126.19,4.71B,-2.17%
05/01/2011,134.9,137.07,137.18,131.38,3.34B,-1.12%
04/01/2011,136.43,133.41,136.57,129.51,2.82B,2.90%
03/01/2011,132.59,133.57,133.69,125.28,4.79B,-0.42%
02/01/2011,133.15,129.46,134.69,129.38,2.82B,3.47%
01/01/2011,128.68,126.71,130.35,125.7,2.86B,2.33%
12/01/2010,125.75,120.2,126.2,120.19,2.72B,6.13%
11/01/2010,118.49,119.07,122.95,117.59,3.98B,0.00%
10/01/2010,118.49,114.99,119.76,113.18,3.77B,3.82%
09/01/2010,114.13,106.73,115.79,106.66,4.05B,8.38%
08/01/2010,105.31,111.99,113.18,104.29,4.54B,-4.50%
07/01/2010,110.27,103.15,112.29,101.13,4.72B,6.83%
06/01/2010,103.22,108.35,113.2,102.88,5.71B,-5.62%
05/01/2010,109.37,119.38,120.68,104.38,7.41B,-7.95%
04/01/2010,118.81,117.8,122.12,117.1,4.01B,1.55%
03/01/2010,117,111.2,118.17,111.17,3.90B,5.65%
02/01/2010,110.74,108.15,111.58,104.58,4.45B,3.12%
01/01/2010,107.39,112.37,115.14,107.22,3.71B,-3.63%
12/01/2009,111.44,110.92,113.03,105.48,2.88B,1.36%
11/01/2009,109.94,104.13,111.74,103.08,3.43B,6.16%
10/01/2009,103.56,105.34,110.31,101.99,4.48B,-1.92%
09/01/2009,105.59,101.95,108.06,99.57,3.78B,3.05%
08/01/2009,102.46,99.85,104.35,98.11,3.96B,3.69%
07/01/2009,98.81,92.34,99.83,87,4.30B,7.46%
06/01/2009,91.95,93.67,96.11,87.53,5.05B,-0.63%
05/01/2009,92.53,87.44,93.7,86.72,5.20B,5.85%
04/01/2009,87.42,78.53,89.02,78.33,6.21B,9.93%
03/01/2009,79.52,72.52,83.3,67.1,8.81B,7.56%
02/01/2009,73.93,81.57,87.74,73.81,7.28B,-10.74%
01/01/2009,82.83,90.44,94.55,80.05,6.88B,-8.21%
12/01/2008,90.24,87.51,92.43,81.86,6.93B,0.17%
11/01/2008,90.09,96.78,100.86,74.34,8.77B,-6.96%
10/01/2008,96.83,115.27,116.69,83.58,11.89B,-16.52%
09/01/2008,115.99,130.03,130.71,110.53,8.11B,-9.94%
08/01/2008,128.79,127.12,131.51,124.76,4.34B,1.55%
07/01/2008,126.83,126.52,129.16,120.02,7.16B,-0.90%
06/01/2008,127.98,139.83,140.89,127.03,5.41B,-8.81%
05/01/2008,140.35,138.39,144.3,137.52,3.65B,1.51%
04/01/2008,138.26,133.71,140.59,132.33,4.01B,4.77%
03/01/2008,131.97,133.14,135.81,126.07,5.47B,-1.38%
02/01/2008,133.82,137.94,139.61,131.73,4.15B,-2.58%
01/01/2008,137.37,146.53,146.99,126,6.11B,-6.05%
12/01/2007,146.21,148.19,152.89,143.96,3.29B,-1.65%
11/01/2007,148.66,153.29,153.41,140.66,5.47B,-3.87%
10/01/2007,154.65,152.6,157.52,148,3.85B,1.36%
09/01/2007,152.58,147.45,154.39,144.33,2.97B,3.38%
08/01/2007,147.59,145.18,150.59,137,6.24B,1.28%
07/01/2007,145.72,150.87,156,145.04,3.99B,-3.13%
06/01/2007,150.43,153.88,154.4,148.06,3.51B,-1.88%
05/01/2007,153.32,148.42,153.89,147.67,2.52B,3.39%
04/01/2007,148.29,142.16,149.8,140.89,1.80B,4.43%
03/01/2007,142,139.34,143.81,136.75,2.92B,0.76%
02/01/2007,140.93,144.15,146.42,139,1.50B,-1.96%
01/01/2007,143.75,142.25,144.13,140.25,1.35B,1.50%
12/01/2006,141.62,140.53,143.24,138.97,1.21B,0.78%
11/01/2006,140.53,138.22,141.16,135.62,1.50B,1.99%
10/01/2006,137.79,133.54,139,132.34,1.45B,3.15%
09/01/2006,133.58,131.14,133.99,129.35,1.36B,2.25%
08/01/2006,130.64,127.34,131.04,126.28,1.42B,2.18%
07/01/2006,127.85,127.43,128.14,122.39,1.69B,0.49%
06/01/2006,127.23,127.38,129.43,122.34,2.17B,-0.22%
05/01/2006,127.51,131.47,132.8,124.76,1.75B,-3.01%
04/01/2006,131.47,130.07,131.86,128.02,1.30B,1.26%
03/01/2006,129.83,128.6,131.47,127.18,1.35B,1.25%
02/01/2006,128.23,127.82,130.04,125.4,1.15B,0.57%
01/01/2006,127.5,125.1,129.44,124.39,1.23B,2.40%
12/01/2005,124.51,126.02,128.57,124.36,1.07B,-0.72%
11/01/2005,125.41,120.58,127.41,120.13,1.19B,4.40%
10/01/2005,120.13,122.96,123.34,116.88,1.79B,-2.37%
09/01/2005,123.04,122.51,124.74,120.44,1.29B,0.38%
08/01/2005,122.58,123.83,124.74,120.38,1.32B,-0.94%
07/01/2005,123.74,119.45,124.64,118.26,1.19B,3.83%
06/01/2005,119.18,119.52,121.94,118.75,1.11B,-0.25%
05/01/2005,119.48,116.07,120.25,114.8,1.35B,3.22%
04/01/2005,115.75,118.63,119.26,113.55,1.67B,-1.87%
03/01/2005,117.96,120.78,123.25,116.25,1.34B,-2.21%
02/01/2005,120.63,118.25,121.67,118.1,1.03B,2.09%
01/01/2005,118.16,121.56,121.76,116.37,1.19B,-2.24%
12/01/2004,120.87,118.16,121.66,117.73,911.60M,2.53%
11/01/2004,117.89,113.56,119.14,113.2,964.65M,4.14%
10/01/2004,113.2,112.26,114.68,109.35,1.05B,1.29%
