Date,Price,Open,High,Low,Vol.,Change %
04/01/2022,62.5,62,62.5,62,,0.00%
03/31/2022,62.5,64,64,62.5,,-2.34%
03/30/2022,64,66,66,64,,-3.03%
03/29/2022,66,63.5,66,63.5,,3.13%
03/28/2022,64,63,64,63,,0.79%
03/25/2022,63.5,64,64,63.5,,-0.78%
03/24/2022,64,64.5,64.5,64,,-1.54%
03/23/2022,65,65.5,65.5,65,,-1.52%
03/22/2022,66,65.5,66,65.5,,-1.49%
03/21/2022,67,67,67,67,0.05K,1.52%
03/18/2022,66,66,66,66,,0.00%
03/17/2022,66,67,67,66,,0.76%
03/16/2022,65.5,67,67,65.5,0.02K,3.97%
03/15/2022,63,63.5,63.5,63,,-0.79%
03/14/2022,63.5,65.5,65.5,63.5,0.05K,0.00%
03/11/2022,63.5,60.5,63.5,60.5,,3.25%
03/10/2022,61.5,63,63,61.5,,-0.81%
03/09/2022,62,59,62,59,0.16K,7.83%
03/08/2022,57.5,56,57.5,56,,0.88%
03/07/2022,57,55.5,57,55.5,,0.00%
03/04/2022,57,62,62,57,0.07K,-7.32%
03/03/2022,61.5,61,61.5,60.5,0.02K,0.82%
03/02/2022,61,59.5,61,59.5,,0.00%
03/01/2022,61,62.5,62.5,61,,-1.61%
02/28/2022,62,64,64,62,,-2.36%
02/25/2022,63.5,61,63.5,61,0.26K,3.25%
02/24/2022,61.5,61.5,61.5,61.5,0.03K,-4.65%
02/23/2022,64.5,65,66,64.5,0.02K,-2.27%
02/22/2022,66,64,66,64,,-1.49%
02/21/2022,67,67,67,67,,-0.74%
02/18/2022,67.5,68.5,68.5,67.5,,-2.88%
02/17/2022,69.5,70,72.5,69.5,0.26K,-2.11%
02/16/2022,71,70.5,71,70.5,,0.00%
02/15/2022,71,68.5,71,68.5,,2.16%
02/14/2022,69.5,69,69.5,69,0.02K,-1.42%
02/11/2022,70.5,71,71,70.5,,-1.40%
02/10/2022,71.5,69.5,71.5,69.5,,4.38%
02/09/2022,68.5,67,70,67,0.01K,-1.44%
02/08/2022,69.5,66.5,69.5,66.5,0.02K,3.73%
02/07/2022,67,65.5,67,65.5,,0.75%
02/04/2022,66.5,67.5,67.5,66.5,,-2.21%
02/03/2022,68,69,69,68,,-2.86%
02/02/2022,70,69.5,70,69.5,,-2.78%
02/01/2022,72,69,72,69,0.00K,3.60%
01/31/2022,69.5,68,69.5,68,,2.21%
01/28/2022,68,69,69,68,,-2.16%
01/27/2022,69.5,68,69.5,68,,-1.42%
01/26/2022,70.5,68,70.5,68,,2.92%
01/25/2022,68.5,67.5,68.5,67.5,,0.00%
01/24/2022,68.5,71,71,68.5,,-6.80%
01/21/2022,73.5,72,73.5,71,0.00K,1.38%
01/20/2022,72.5,71,72.5,71,,0.69%
01/19/2022,72,69.5,72,69.5,,1.41%
01/18/2022,71,72,72,71,,-0.70%
01/17/2022,71.5,71.5,71.5,71.5,,-2.05%
01/14/2022,73,74.5,74.5,73,,-2.67%
01/13/2022,75,75,75,75,,-1.32%
01/12/2022,76,74,76,74,,2.01%
01/11/2022,74.5,72.5,74.5,72.5,,2.05%
01/10/2022,73,75,75,73,,-3.31%
01/07/2022,75.5,76,76,75.5,,-1.31%
01/06/2022,76.5,77.5,77.5,76.5,,-1.92%
01/05/2022,78,76.5,78,76.5,0.11K,1.30%
01/04/2022,77,75.5,77,75.5,,0.65%
01/03/2022,76.5,75,76.5,75,,2.68%
12/30/2021,74.5,74.5,74.5,74.5,,-0.67%
12/29/2021,75,75,75,75,,1.35%
12/28/2021,74,74,74,74,,0.00%
12/27/2021,74,74,74,74,,0.00%
12/23/2021,74,72.5,74,72.5,,1.37%
12/22/2021,73,72,73,72,,0.69%
12/21/2021,72.5,71,72.5,71,,0.69%
12/20/2021,72,74,74,72,0.01K,-2.70%
12/17/2021,74,74,74,74,,-0.67%
12/16/2021,74.5,74.5,74.5,74.5,,2.05%
12/15/2021,73,73,73,73,,-2.01%
12/14/2021,74.5,74.5,74.5,74.5,,0.00%
12/13/2021,74.5,74.5,74.5,74.5,,0.00%
12/10/2021,74.5,74.5,74.5,74.5,,0.00%
12/09/2021,74.5,74.5,74.5,74.5,,-1.32%
12/08/2021,75.5,75.5,75.5,75.5,,0.00%
12/07/2021,75.5,73.5,75.5,73.5,0.12K,4.86%
12/06/2021,72,72,72,72,,-1.37%
12/03/2021,73,72.5,73,72.5,,0.00%
12/02/2021,73,73,73,73,,0.69%
12/01/2021,72.5,69.5,72.5,69.5,,2.11%
11/30/2021,71,71,71,71,0.20K,-1.39%
11/29/2021,72,71.5,75,71.5,0.18K,-0.69%
11/26/2021,72.5,74.5,74.5,72.5,,-2.68%
11/25/2021,74.5,74.5,74.5,74.5,,-0.67%
11/24/2021,75,75.5,75.5,75,,-1.96%
11/23/2021,76.5,76.5,76.5,76.5,,-1.29%
11/22/2021,77.5,76.5,77.5,76.5,,0.65%
11/19/2021,77,76,77,76,,0.00%
11/18/2021,77,76,77,76,,0.65%
11/17/2021,76.5,75.5,76.5,75.5,,1.32%
11/16/2021,75.5,74,77.5,74,0.04K,2.72%
11/15/2021,73.5,73,75.5,73,0.10K,0.00%
11/12/2021,73.5,74.5,74.5,73.5,,-2.65%
11/11/2021,75.5,72.5,75.5,72.5,,3.42%
11/10/2021,73,71.5,73,71.5,,0.69%
11/09/2021,72.5,72,72.5,72,,-2.68%
11/08/2021,74.5,71.5,74.5,71.5,0.10K,3.47%
11/05/2021,72,71,72,71,,-0.69%
11/04/2021,72.5,71,72.5,71,0.01K,1.40%
11/03/2021,71.5,71.5,71.5,71.5,,-0.69%
11/02/2021,72,69,72,69,,3.60%
11/01/2021,69.5,69,69.5,69,,0.00%
10/29/2021,69.5,69,69.5,69,,0.00%
10/28/2021,69.5,69,69.5,69,,-0.71%
10/27/2021,70,69.5,70,69.5,,-0.71%
10/26/2021,70.5,68.5,70.5,68.5,,2.17%
10/25/2021,69,69,69,69,,-0.72%
10/22/2021,69.5,68.5,69.5,68.5,,0.72%
10/21/2021,69,70,70,69,,-2.82%
10/20/2021,71,69,71,69,,2.16%
10/19/2021,69.5,69,69.5,69,,0.72%
10/18/2021,69,69.5,69.5,69,,-1.43%
10/15/2021,70,69.5,70,69.5,,0.00%
10/14/2021,70,67.5,70,67.5,,2.94%
10/13/2021,68,67,68,67,,0.74%
10/12/2021,67.5,67,67.5,67,,-0.74%
10/11/2021,68,67.5,68,67.5,,-0.73%
10/08/2021,68.5,68,69,68,0.12K,1.48%
10/07/2021,67.5,66.5,67.5,66.5,,0.75%
10/06/2021,67,68,68,67,,-1.47%
10/05/2021,68,67,68,67,,0.00%
10/04/2021,68,67.5,68,67.5,,-0.73%
10/01/2021,68.5,70,70,68.5,,-2.84%
09/30/2021,70.5,70.5,70.5,70.5,,-0.70%
09/29/2021,71,70.5,71,70.5,,0.00%
09/28/2021,71,72.5,72.5,71,,-2.74%
09/27/2021,73,73,75,73,0.26K,-1.35%
09/24/2021,74,74,74,74,,-0.67%
