Date,Price,Open,High,Low,Vol.,Change %
04/01/2022,117.78,126.36,127,111.5,33.67M,-6.27%
03/01/2022,125.66,125,138.08,105.92,60.02M,-0.79%
02/01/2022,126.66,141.18,149.26,120.84,46.90M,-9.45%
01/01/2022,139.88,151.82,157.96,136.18,31.83M,-8.38%
12/01/2021,152.68,142.7,154.7,141.18,24.91M,8.07%
11/01/2021,141.28,140.92,156.98,140.16,34.55M,0.71%
10/01/2021,140.28,138.98,143.44,133.7,24.72M,-1.16%
09/01/2021,141.92,140.56,151.86,137.74,34.53M,0.77%
08/01/2021,140.84,132.72,144,132.52,21.95M,7.04%
07/01/2021,131.58,134.86,135.74,124.96,26.26M,-1.53%
06/01/2021,133.62,133.46,139.24,132.42,29.04M,0.74%
05/01/2021,132.64,139.36,145.2,130.02,34.44M,-4.45%
04/01/2021,138.82,140,145.96,137.94,25.78M,-0.84%
03/01/2021,140,129.26,141.92,128.26,38.04M,9.39%
02/01/2021,127.98,129.12,137.52,126.86,33.16M,0.03%
01/01/2021,127.94,118.88,133.26,116.3,39.92M,8.87%
12/01/2020,117.52,112.58,119.74,111.36,34.83M,4.93%
11/01/2020,112,101.52,119.3,100.36,45.31M,11.22%
10/01/2020,100.7,108.6,112.9,98.5,36.13M,-6.66%
09/01/2020,107.88,105.29,110.88,98.84,48.60M,3.47%
08/01/2020,104.26,97.72,108.77,97.72,31.39M,6.78%
07/01/2020,97.65,93.17,105.56,92.62,37.55M,3.40%
06/01/2020,94.44,90.51,98.66,85.47,59.16M,6.32%
05/01/2020,88.82,74.28,91.03,72.31,56.49M,16.36%
04/01/2020,76.34,67.61,80.22,66.18,74.27M,9.31%
03/01/2020,69.84,83.83,85.86,52.98,150.31M,-16.88%
02/01/2020,84.02,100.35,103.09,81.95,59.64M,-16.52%
01/01/2020,100.64,104.93,107.18,100.44,41.06M,-4.20%
12/01/2019,105.06,105.58,108.09,102.68,39.00M,-0.50%
11/01/2019,105.58,93.19,106.62,93.14,44.79M,13.29%
10/01/2019,93.19,88.9,95.43,84.76,43.55M,5.22%
09/01/2019,88.57,81.6,88.78,80.58,41.83M,8.03%
08/01/2019,81.99,86,86.4,76.1,60.60M,-8.12%
07/01/2019,89.24,95.1,95.86,88.61,45.20M,-5.36%
06/01/2019,94.29,91.05,96.92,90.25,37.34M,3.12%
05/01/2019,91.44,96.01,98.11,90.98,48.63M,-4.97%
04/01/2019,96.22,87.32,96.83,87.25,37.29M,11.26%
03/01/2019,86.49,87.35,90.1,84.92,46.60M,-0.20%
02/01/2019,86.66,86.2,88.97,81.9,48.05M,0.37%
01/01/2019,86.34,87.46,91.3,85.49,52.63M,-1.64%
12/01/2018,87.78,93.64,94.38,85.61,48.71M,-4.90%
11/01/2018,92.31,91.46,94.51,88.67,48.25M,0.67%
10/01/2018,91.7,99.2,100.08,88.8,61.46M,-7.81%
09/01/2018,99.47,100.75,101.07,97,42.25M,-1.46%
08/01/2018,100.95,109.13,109.71,98.4,44.71M,-7.27%
07/01/2018,108.86,100.6,109.49,100.31,37.97M,6.66%
06/01/2018,102.06,101.23,109.31,100.01,54.91M,1.54%
05/01/2018,100.51,95.55,106.86,95.55,51.27M,5.55%
04/01/2018,95.23,92.54,98.13,89.99,44.98M,2.05%
03/01/2018,93.32,97.36,97.7,89.95,63.06M,-4.54%
02/01/2018,97.75,107.87,107.99,95.92,59.83M,-11.23%
01/01/2018,110.12,104.48,113.31,102.96,55.47M,5.17%
12/01/2017,104.7,103.44,108.67,101.05,42.13M,1.71%
11/01/2017,102.95,112.05,113.54,101.41,49.87M,-6.78%
10/01/2017,110.43,107.95,110.43,103.71,37.83M,2.77%
09/01/2017,107.45,99.21,107.45,98.89,44.62M,8.56%
08/01/2017,98.98,104.07,105.65,97.36,49.26M,-4.31%
07/01/2017,103.44,109.08,111.56,103.31,42.28M,-4.65%
06/01/2017,108.49,114.53,117.01,107.99,39.20M,-5.27%
05/01/2017,114.53,118.68,120.34,112.55,35.09M,-3.46%
04/01/2017,118.63,116.11,120.25,111.38,32.32M,2.49%
03/01/2017,115.75,111.47,115.75,109.3,42.93M,4.56%
02/01/2017,110.7,109.93,112.95,105.52,45.59M,5.63%
01/01/2017,104.79,104.34,108.63,102.77,43.45M,-0.47%
12/01/2016,105.29,95.78,105.79,94.02,46.89M,9.57%
11/01/2016,96.1,94.07,99.7,89.59,45.48M,3.04%
10/01/2016,93.26,93.93,97.31,92.17,32.17M,-0.72%
09/01/2016,93.93,96.91,98.26,91.54,42.79M,-2.66%
08/01/2016,96.5,88.24,98.26,86.15,41.98M,10.22%
07/01/2016,87.55,83.24,88.06,79.1,36.73M,5.78%
06/01/2016,82.76,87.11,88.7,78.26,60.77M,-5.15%
05/01/2016,87.25,82.41,88.97,81.06,46.63M,6.22%
04/01/2016,82.14,82.71,87.41,79.13,43.20M,-2.18%
03/01/2016,83.97,77.08,84.67,76.86,59.44M,9.00%
02/01/2016,77.04,80.05,80.28,71.42,57.24M,-3.08%
01/01/2016,79.49,79.41,82.26,71.68,76.16M,-1.89%
12/01/2015,81.02,89.24,89.24,77.56,50.22M,-8.42%
11/01/2015,88.47,81.6,88.99,81.5,42.05M,7.26%
10/01/2015,82.48,72.92,83.01,70.23,48.05M,14.46%
09/01/2015,72.06,78.23,80.24,70.27,63.51M,-9.63%
08/01/2015,79.74,87.94,90.96,73.51,56.99M,-9.22%
07/01/2015,87.84,82.4,87.98,78.45,57.29M,7.85%
06/01/2015,81.45,86.87,88.35,81.45,66.59M,-5.67%
05/01/2015,86.34,88.07,89.46,84.33,47.15M,-1.77%
04/01/2015,87.9,90.12,93.93,84.76,41.11M,-3.17%
03/01/2015,90.78,89.86,95.87,87.47,59.32M,0.88%
02/01/2015,89.98,84.12,89.98,83.64,51.80M,7.33%
01/01/2015,83.84,84.75,93.12,80.8,73.75M,-0.80%
12/01/2014,84.51,84.89,85.77,79.29,52.66M,-1.48%
11/01/2014,85.78,80.79,87.11,78.1,52.25M,5.84%
10/01/2014,81.05,85.01,85.67,72.27,76.41M,-4.73%
09/01/2014,85.07,85.91,89.24,83.66,46.39M,-1.02%
08/01/2014,85.95,83.61,87.3,79.12,43.84M,3.18%
07/01/2014,83.29,86.99,88.38,82.14,41.34M,-4.20%
06/01/2014,86.95,88.26,90.73,86.29,41.16M,-1.04%
05/01/2014,87.86,84.31,90.09,83.43,46.54M,2.59%
04/01/2014,85.64,88.6,90.09,83.51,39.72M,-2.76%
03/01/2014,88.07,85.49,89.47,78.44,58.60M,0.97%
02/01/2014,87.23,84.69,87.64,81.91,39.39M,2.98%
01/01/2014,84.7,90.42,91.36,82.58,59.06M,-5.37%
12/01/2013,89.51,87.77,90.55,83.34,38.83M,2.15%
11/01/2013,87.62,84.92,88.78,82.67,40.25M,3.21%
10/01/2013,84.9,80.72,85.16,79.61,46.53M,5.75%
09/01/2013,80.28,73.01,82.33,73.01,46.53M,11.20%
08/01/2013,72.2,74.91,76.74,72.2,35.21M,-2.70%
07/01/2013,74.2,69.2,76.08,67.65,69.94M,9.39%
06/01/2013,67.83,71.93,72.05,65.88,56.68M,-4.85%
05/01/2013,71.29,68.4,73.58,68.28,56.40M,2.91%
04/01/2013,69.27,73.25,75.13,65.95,54.16M,-5.63%
03/01/2013,73.4,69.48,77.09,68.9,54.36M,5.54%
02/01/2013,69.55,70.68,70.84,66.68,50.01M,-1.51%
01/01/2013,70.62,72.94,74.03,69.99,48.75M,-1.65%
12/01/2012,71.81,69.53,72.91,69.27,37.30M,3.66%
11/01/2012,69.27,67.51,72.31,66.83,65.73M,2.27%
10/01/2012,67.73,67.8,70.31,66.4,70.86M,-0.09%
09/01/2012,67.8,65.52,70.2,64.89,80.95M,2.90%
08/01/2012,65.88,60.62,66.13,59.51,75.99M,9.15%
07/01/2012,60.36,57.83,61.57,56.34,69.26M,4.48%
06/01/2012,57.78,58.12,58.89,54.27,78.73M,-0.56%
05/01/2012,58.1,61.51,61.96,56.82,76.06M,-4.94%
04/01/2012,61.12,66.05,67.25,59.86,73.85M,-7.43%
03/01/2012,66.03,65.28,69.79,63,79.01M,0.98%
02/01/2012,65.39,62.75,67.16,62.61,65.76M,3.77%
01/01/2012,63.02,64.71,68.78,62.77,81.72M,-2.43%
12/01/2011,64.59,65.6,67.5,61.76,64.45M,-1.40%
11/01/2011,65.51,64.89,67.16,58.25,84.70M,-1.61%
10/01/2011,66.58,57.65,69.31,56.2,82.05M,11.89%
09/01/2011,59.51,62.85,62.98,54.27,111.88M,-5.23%
08/01/2011,62.79,78.71,78.92,58.09,150.67M,-19.58%
07/01/2011,78.08,82.61,84.03,76.87,63.27M,-5.62%
06/01/2011,82.72,81.36,83.15,77.54,74.33M,1.83%
05/01/2011,81.24,86.31,86.54,77.87,62.57M,-5.31%
04/01/2011,85.8,84.63,86.82,80.44,52.37M,1.56%
03/01/2011,84.48,85.34,86.41,73.84,87.35M,-0.90%
02/01/2011,85.25,82.53,86.31,79.71,69.43M,4.23%
01/01/2011,81.79,81.68,83.86,77.07,101.82M,1.00%
12/01/2010,80.98,74.25,83.14,74.12,58.07M,9.98%
11/01/2010,73.63,72.38,76.19,71.22,70.14M,-7.43%
10/01/2010,79.54,75.11,81.88,72.56,67.39M,6.01%
09/01/2010,75.03,69.03,78.01,68.16,74.93M,7.87%
08/01/2010,69.56,73.16,76.32,67.85,65.98M,-4.02%
07/01/2010,72.47,70.95,75.49,68.56,71.63M,1.04%
06/01/2010,71.73,71.54,77.18,69,89.39M,0.00%
05/01/2010,71.73,71.48,75.93,64.93,127.29M,-0.43%
04/01/2010,72.04,72.11,74.02,68.62,86.69M,0.26%
03/01/2010,71.85,61.66,72.62,61.59,91.04M,17.72%
