Date,Price,Open,High,Low,Vol.,Change %
04/01/2022,126.7,126.36,127,125.1,1.44M,0.83%
03/31/2022,125.66,131.06,131.7,125.66,2.43M,-3.35%
03/30/2022,130.02,133.02,133.58,129.68,1.59M,-3.30%
03/29/2022,134.46,131.24,135.56,130.94,1.73M,4.07%
03/28/2022,129.2,128.4,132.1,128.4,1.71M,0.64%
03/25/2022,128.38,130.18,130.7,127.32,1.38M,-1.34%
03/24/2022,130.12,131.08,131.72,129.52,1.72M,-0.67%
03/23/2022,131,133.08,134.06,129.38,1.62M,-1.65%
03/22/2022,133.2,132.78,134.86,132.56,1.63M,0.09%
03/21/2022,133.08,135.6,136.18,131.9,1.71M,-2.18%
03/18/2022,136.04,136.02,136.28,132.18,4.27M,1.11%
03/17/2022,134.54,136.3,138.08,132.44,2.00M,-1.25%
03/16/2022,136.24,132.62,136.42,130.34,3.12M,6.14%
03/15/2022,128.36,127.5,129.24,124.8,2.14M,-0.62%
03/14/2022,129.16,129.68,132.4,128.2,2.31M,1.48%
03/11/2022,127.28,123.74,129.92,123.16,3.26M,3.41%
03/10/2022,123.08,126.6,127.22,122,2.76M,-3.63%
03/09/2022,127.72,120.26,127.72,118.88,4.70M,10.58%
03/08/2022,115.5,111.38,118.5,111.38,3.81M,1.51%
03/07/2022,113.78,107.9,116.6,105.92,4.55M,0.49%
03/04/2022,113.22,119.52,120.74,113,3.62M,-6.91%
03/03/2022,121.62,124.34,125.64,121.1,1.96M,-1.76%
03/02/2022,123.8,118.28,125.38,117.04,2.99M,2.77%
03/01/2022,120.46,125,126.36,120.46,3.01M,-4.89%
02/28/2022,126.66,125.9,127.38,123.34,2.99M,-2.36%
02/25/2022,129.72,125.24,129.72,123.38,3.42M,4.46%
02/24/2022,124.18,123.24,126.3,120.84,5.17M,-5.60%
02/23/2022,131.54,131.9,134.68,131.18,1.74M,-0.38%
02/22/2022,132.04,129,133.64,127.8,2.66M,-1.15%
02/21/2022,133.58,137.72,138.28,131.68,1.88M,-2.02%
02/18/2022,136.34,139.38,139.68,135.28,2.05M,-2.27%
02/17/2022,139.5,142.46,143.46,138.96,1.83M,-2.13%
02/16/2022,142.54,143.02,144.98,141.9,1.64M,-0.60%
02/15/2022,143.4,139,143.6,138.64,2.21M,2.80%
02/14/2022,139.5,137.96,140.88,135.06,2.76M,-1.37%
02/11/2022,141.44,140.68,143.8,140.04,2.55M,-2.24%
02/10/2022,144.68,148,149.26,144.56,3.75M,4.72%
02/09/2022,138.16,136.86,139.58,136.72,1.64M,1.14%
02/08/2022,136.6,136.38,137.68,135.86,1.49M,0.74%
02/07/2022,135.6,134.06,136.06,133.28,1.46M,2.08%
02/04/2022,132.84,137.5,137.98,132.84,2.61M,-2.91%
02/03/2022,136.82,139.58,139.8,136.68,2.37M,-2.63%
02/02/2022,140.52,141.74,142.42,140.52,1.24M,-0.30%
02/01/2022,140.94,141.18,142.94,140.94,1.44M,0.76%
01/31/2022,139.88,139.96,142.02,138.98,2.02M,1.11%
01/28/2022,138.34,139.68,140.84,136.84,1.80M,-1.54%
01/27/2022,140.5,137.82,141.3,137.42,1.77M,-0.52%
01/26/2022,141.24,139.8,142.9,139.5,1.64M,1.96%
01/25/2022,138.52,139.26,139.38,136.18,2.15M,0.79%
01/24/2022,137.44,143.04,144.6,136.56,2.25M,-4.90%
01/21/2022,144.52,146,146.34,142.84,2.28M,-1.62%
01/20/2022,146.9,144.76,147.2,143.7,1.23M,1.77%
01/19/2022,144.34,141.8,145.3,141.02,1.40M,1.22%
01/18/2022,142.6,145.5,145.68,142.46,1.67M,-2.33%
01/17/2022,146,147.12,147.74,145.78,1.23M,0.10%
01/14/2022,145.86,149.82,150.2,145.6,1.78M,-3.72%
01/13/2022,151.5,152.26,152.84,149.72,1.25M,-0.47%
01/12/2022,152.22,152,153.34,151.26,1.01M,1.28%
01/11/2022,150.3,148.72,150.76,148.52,1.29M,1.64%
01/10/2022,147.88,152.08,152.26,147.18,1.31M,-2.81%
01/07/2022,152.16,153.62,154.12,151.24,1.22M,-1.30%
01/06/2022,154.16,155.4,155.94,153.62,1.33M,-2.41%
01/05/2022,157.96,155.08,157.96,155.08,1.18M,1.63%
01/04/2022,155.42,154.32,156.82,153.4,1.01M,1.11%
01/03/2022,153.72,151.82,154.74,151.8,1.05M,0.68%
12/30/2021,152.68,151.18,152.68,150.94,881.58K,0.59%
12/29/2021,151.78,152.56,152.76,151.2,688.00K,-0.68%
12/28/2021,152.82,151.14,153.06,150.4,581.09K,1.34%
12/27/2021,150.8,149.24,151.06,149.24,482.42K,0.39%
12/23/2021,150.22,148.4,150.22,148.16,795.34K,1.75%
12/22/2021,147.64,146.8,147.78,145.84,612.21K,0.72%
12/21/2021,146.58,145.9,146.68,144.16,795.53K,1.31%
12/20/2021,144.68,144.9,145.7,141.18,1.44M,-2.18%
12/17/2021,147.9,149.5,150.04,147.12,2.84M,-1.40%
12/16/2021,150,151.4,152.22,149.66,1.58M,0.97%
12/15/2021,148.56,148.52,149.3,147.96,886.77K,0.84%
12/14/2021,147.32,151.08,152.48,147.18,1.11M,-2.15%
12/13/2021,150.56,151.2,153.58,150.06,1.16M,-0.32%
12/10/2021,151.04,149.7,151.56,149.6,955.83K,0.01%
12/09/2021,151.02,152.18,152.88,150.2,800.58K,-0.38%
12/08/2021,151.6,153.34,154.7,151.52,1.23M,-0.98%
12/07/2021,153.1,149.84,153.4,149.84,1.66M,2.52%
12/06/2021,149.34,147.9,149.66,145.78,1.34M,1.91%
12/03/2021,146.54,149.9,150.2,146,1.78M,-0.85%
12/02/2021,147.8,145.76,148.12,145.18,1.74M,-0.15%
12/01/2021,148.02,142.7,148.34,142.4,1.55M,4.77%
11/30/2021,141.28,142.88,143.84,140.24,4.68M,-2.27%
11/29/2021,144.56,147.22,148.14,143.62,1.62M,-0.47%
11/26/2021,145.24,148.86,149.54,145.24,2.71M,-5.43%
11/25/2021,153.58,153,154,152.48,799.41K,1.08%
11/24/2021,151.94,153.44,154.76,151.12,1.20M,-0.91%
11/23/2021,153.34,154.9,155.58,152.84,1.27M,-1.65%
11/22/2021,155.92,154.88,156.98,154.54,1.15M,0.46%
11/19/2021,155.2,155.28,156.64,154.06,2.54M,0.23%
11/18/2021,154.84,155.06,156.14,154.8,1.19M,0.06%
11/17/2021,154.74,154.02,156.56,153.24,1.39M,0.74%
11/16/2021,153.6,150.4,153.64,149.8,1.35M,2.36%
11/15/2021,150.06,146.48,150.16,145.2,1.35M,1.12%
11/12/2021,148.4,151.06,151.3,147.2,1.99M,-1.83%
11/11/2021,151.16,147.74,152.42,145.7,2.61M,2.86%
11/10/2021,146.96,145.8,147.1,145.52,936.38K,0.86%
11/09/2021,145.7,145.58,147.4,145.44,954.12K,-0.31%
11/08/2021,146.16,144.58,146.74,144.5,991.56K,0.40%
11/05/2021,145.58,145,145.82,143.12,1.35M,-0.25%
11/04/2021,145.94,144,146.56,143.56,1.19M,1.22%
11/03/2021,144.18,144.82,145.28,143.58,1.04M,-0.57%
11/02/2021,145,140.78,145.4,140.5,1.44M,3.03%
11/01/2021,140.74,140.92,141.76,140.16,790.98K,0.33%
10/29/2021,140.28,138.52,140.38,135.96,1.79M,0.31%
10/28/2021,139.84,139.9,140.42,138.94,1.04M,-0.61%
10/27/2021,140.7,140.7,143.44,140.24,1.01M,-0.47%
10/26/2021,141.36,139.36,141.88,139.16,924.30K,1.68%
10/25/2021,139.02,139.86,140.26,138.02,944.15K,-0.39%
10/22/2021,139.56,138.56,140.3,137.94,1.29M,0.71%
10/21/2021,138.58,140.94,140.94,137.9,1.32M,-2.48%
10/20/2021,142.1,140.9,143.26,140.6,1.02M,1.04%
10/19/2021,140.64,140.32,140.64,138.74,836.64K,0.56%
10/18/2021,139.86,141,141.08,138.92,885.92K,-0.99%
10/15/2021,141.26,140,141.26,139.1,1.52M,0.14%
10/14/2021,141.06,138.06,141.36,137.54,1.15M,3.05%
10/13/2021,136.88,135.56,137.74,135.02,951.49K,0.54%
