observation_date,DGS1
02/02/2004,1.29
03/02/2004,1.27
04/02/2004,1.27
05/02/2004,1.29
06/02/2004,1.26
09/02/2004,1.25
10/02/2004,1.27
11/02/2004,1.23
12/02/2004,1.24
13/02/2004,1.21
16/02/2004,
17/02/2004,1.21
18/02/2004,1.23
19/02/2004,1.23
20/02/2004,1.26
23/02/2004,1.22
24/02/2004,1.23
25/02/2004,1.23
26/02/2004,1.23
27/02/2004,1.21
01/03/2004,1.23
02/03/2004,1.26
03/03/2004,1.26
04/03/2004,1.25
05/03/2004,1.16
08/03/2004,1.15
09/03/2004,1.15
10/03/2004,1.17
11/03/2004,1.15
12/03/2004,1.18
15/03/2004,1.18
16/03/2004,1.17
17/03/2004,1.18
18/03/2004,1.17
19/03/2004,1.19
22/03/2004,1.17
23/03/2004,1.17
24/03/2004,1.16
25/03/2004,1.15
26/03/2004,1.19
29/03/2004,1.21
30/03/2004,1.21
31/03/2004,1.2
01/04/2004,1.23
02/04/2004,1.3
05/04/2004,1.34
06/04/2004,1.31
07/04/2004,1.31
08/04/2004,1.32
09/04/2004,
12/04/2004,1.34
13/04/2004,1.39
14/04/2004,1.48
15/04/2004,1.46
16/04/2004,1.4
19/04/2004,1.43
20/04/2004,1.46
21/04/2004,1.52
22/04/2004,1.49
23/04/2004,1.59
26/04/2004,1.57
27/04/2004,1.53
28/04/2004,1.54
29/04/2004,1.55
30/04/2004,1.55
03/05/2004,1.6
04/05/2004,1.57
05/05/2004,1.56
06/05/2004,1.61
07/05/2004,1.83
10/05/2004,1.85
11/05/2004,1.83
12/05/2004,1.81
13/05/2004,1.84
14/05/2004,1.81
17/05/2004,1.8
18/05/2004,1.83
19/05/2004,1.85
20/05/2004,1.81
21/05/2004,1.84
24/05/2004,1.86
25/05/2004,1.84
26/05/2004,1.81
27/05/2004,1.77
28/05/2004,1.83
31/05/2004,
01/06/2004,1.89
02/06/2004,1.92
03/06/2004,1.91
04/06/2004,1.97
07/06/2004,1.96
08/06/2004,2.02
09/06/2004,2.14
10/06/2004,2.14
11/06/2004,
14/06/2004,2.25
15/06/2004,2.16
16/06/2004,2.24
17/06/2004,2.21
18/06/2004,2.24
21/06/2004,2.17
22/06/2004,2.21
23/06/2004,2.15
24/06/2004,2.11
25/06/2004,2.14
28/06/2004,2.3
29/06/2004,2.2
30/06/2004,2.09
01/07/2004,2.07
02/07/2004,2.02
05/07/2004,
06/07/2004,2.15
07/07/2004,2
08/07/2004,1.99
09/07/2004,2
12/07/2004,2.02
13/07/2004,2.05
14/07/2004,2.08
15/07/2004,2.11
16/07/2004,2.08
19/07/2004,2.1
20/07/2004,2.13
21/07/2004,2.14
22/07/2004,2.12
23/07/2004,2.12
26/07/2004,2.18
27/07/2004,2.19
28/07/2004,2.17
29/07/2004,2.15
30/07/2004,2.13
